review_id,product_name,review_text,rating,review_date
78,数据分析平台,清晰，稳定，效率高，值得这个价格。,5,2025-01-22
67,数据分析平台,好用，稳定，效率高，客服也很专业。,4,2025-01-25
72,数据分析平台,清晰，稳定，效率高，值得这个价格。,4,2025-01-25
108,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,2,2025-01-27
55,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,5,2025-01-28
79,数据分析平台,这个数据分析平台非常稳定，好用，数据展示清晰，效率高。,5,2025-01-28
29,智能客服系统,好用，但是客服回复速度一般，希望能改进。,4,2025-01-28
7,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,4,2025-01-29
26,智能客服系统,整体满意，稳定，就是上手需要一点时间。,5,2025-01-30
94,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,1,2025-01-31
50,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,4,2025-01-31
2,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,3,2025-02-01
66,数据分析平台,好用，稳定，效率高，客服也很专业。,5,2025-02-01
105,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,1,2025-02-03
54,数据分析平台,好用，稳定，效率高，客服也很专业。,5,2025-02-03
81,AI营销助手,价格高，功能复杂，一点都不人性化，不好用。,3,2025-02-03
82,AI营销助手,价格高，功能复杂，一点都不人性化，不好用。,2,2025-02-06
107,AI营销助手,不好用，功能堆砌，价格高，客服差，后悔买了。,2,2025-02-06
42,数据分析平台,清晰，稳定，效率高，值得这个价格。,5,2025-02-07
96,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,3,2025-02-10
59,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,4,2025-02-13
68,数据分析平台,清晰，稳定，效率高，值得这个价格。,5,2025-02-15
12,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,5,2025-02-15
34,智能客服系统,客服响应还可以，产品功能也算稳定，整体及格。,3,2025-02-16
19,智能客服系统,整体满意，稳定，就是上手需要一点时间。,3,2025-02-18
38,智能客服系统,系统稳定，功能也全，就是UI设计有点老旧。,4,2025-02-19
27,智能客服系统,用了一段时间，感觉还行，效率提升了一些，但不多。,3,2025-02-21
92,AI营销助手,不好用，功能堆砌，价格高，客服差，后悔买了。,2,2025-02-23
75,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,5,2025-02-26
57,数据分析平台,清晰，稳定，效率高，值得这个价格。,5,2025-02-26
74,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,4,2025-03-01
109,AI营销助手,这个AI营销助手响应慢，操作太复杂了，不好用。,2,2025-03-06
44,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,5,2025-03-06
35,智能客服系统,系统还行，功能比较全，但是偶尔会有小bug。,4,2025-03-07
39,智能客服系统,系统还行，功能比较全，但是偶尔会有小bug。,3,2025-03-09
14,智能客服系统,好用，但是客服回复速度一般，希望能改进。,3,2025-03-10
47,数据分析平台,这个数据分析平台非常稳定，好用，数据展示清晰，效率高。,5,2025-03-11
116,AI营销助手,不好用，功能堆砌，价格高，客服差，后悔买了。,1,2025-03-11
6,智能客服系统,好用，但是客服回复速度一般，希望能改进。,3,2025-03-13
114,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,1,2025-03-13
16,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,3,2025-03-15
91,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,2,2025-03-16
86,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,2,2025-03-16
117,AI营销助手,响应慢，客服差，这就是你们的产品吗？,2,2025-03-16
4,智能客服系统,系统还行，功能比较全，但是偶尔会有小bug。,4,2025-03-17
60,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,4,2025-03-17
48,数据分析平台,这个数据分析平台非常稳定，好用，数据展示清晰，效率高。,5,2025-03-18
22,智能客服系统,用了一段时间，感觉还行，效率提升了一些，但不多。,4,2025-03-19
102,AI营销助手,这个AI营销助手响应慢，操作太复杂了，不好用。,3,2025-03-20
112,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,3,2025-03-23
1,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,3,2025-03-23
64,数据分析平台,好用，功能强大且稳定，大大提升了我们的工作效率。,5,2025-03-27
95,AI营销助手,价格高，功能复杂，一点都不人性化，不好用。,2,2025-03-27
21,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,3,2025-03-27
103,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,3,2025-03-27
3,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,5,2025-03-28
89,AI营销助手,响应慢，客服差，这就是你们的产品吗？,3,2025-03-28
25,智能客服系统,系统还行，功能比较全，但是偶尔会有小bug。,4,2025-03-29
40,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,5,2025-03-29
9,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,4,2025-03-31
61,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,5,2025-04-01
56,数据分析平台,非常满意，系统稳定，效率高，数据分析很清晰。,5,2025-04-02
65,数据分析平台,清晰，稳定，效率高，值得这个价格。,5,2025-04-03
113,AI营销助手,响应慢，客服差，这就是你们的产品吗？,2,2025-04-05
106,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,2,2025-04-06
33,智能客服系统,好用，但是客服回复速度一般，希望能改进。,4,2025-04-06
85,AI营销助手,这个AI营销助手响应慢，操作太复杂了，不好用。,1,2025-04-06
32,智能客服系统,界面挺清晰的，但是有些高级功能需要额外付费，有点坑。,4,2025-04-06
52,数据分析平台,好用，功能强大且稳定，大大提升了我们的工作效率。,5,2025-04-08
41,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,5,2025-04-09
37,智能客服系统,中规中矩吧，好用是好用，就是价格稍微有点贵。,4,2025-04-12
71,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,5,2025-04-13
13,智能客服系统,系统稳定，功能也全，就是UI设计有点老旧。,3,2025-04-14
8,智能客服系统,客服响应还可以，产品功能也算稳定，整体及格。,5,2025-04-14
88,AI营销助手,价格高得离谱，客服差到极点，完全不推荐。,1,2025-04-19
36,智能客服系统,客服响应还可以，产品功能也算稳定，整体及格。,3,2025-04-21
69,数据分析平台,效率高，系统运行稳定，界面清晰，非常推荐。,5,2025-04-21
45,数据分析平台,清晰的报表，稳定的系统，效率高，是目前用过最好的。,5,2025-04-22
100,AI营销助手,太复杂了，上手难度大，而且系统响应慢，经常卡顿。,1,2025-04-23
30,智能客服系统,系统稳定，功能也全，就是UI设计有点老旧。,5,2025-04-24
115,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,2,2025-04-24
119,AI营销助手,这个AI营销助手响应慢，操作太复杂了，不好用。,3,2025-04-26
120,AI营销助手,客服差，问个问题半天不回，产品价格高，性价比极低。,1,2025-04-26
28,智能客服系统,整体满意，稳定，就是上手需要一点时间。,5,2025-04-27
24,智能客服系统,用了一段时间，感觉还行，效率提升了一些，但不多。,4,2025-04-29
104,AI营销助手,用了几天发现响应慢，而且界面复杂，真的不好用。,2,2025-04-30
93,AI营销助手,不好用，功能堆砌，价格高，客服差，后悔买了。,1,2025-04-30
