date,product_name,region,sales_amount,order_count,refund_rate
2025-01-29,数据分析平台,华北,33475,19,0.0142
2025-01-29,智能客服系统,华北,35234,31,0.0322
2025-01-29,智能客服系统,华南,36101,33,0.0472
2025-01-30,智能客服系统,华北,43288,43,0.0493
2025-01-30,数据分析平台,华南,29263,17,0.0157
2025-01-30,AI营销助手,华东,48220,46,0.0823
2025-01-30,AI营销助手,华北,49845,50,0.0836
2025-01-30,AI营销助手,华南,50553,52,0.0853
2025-01-31,智能客服系统,华南,40052,39,0.0363
2025-01-31,AI营销助手,华南,49470,54,0.08
2025-02-01,AI营销助手,华南,39553,40,0.1244
2025-02-01,智能客服系统,华北,35716,31,0.0448
2025-02-01,智能客服系统,华东,42502,31,0.0408
2025-02-02,AI营销助手,华北,40946,40,0.1235
2025-02-02,AI营销助手,华南,38306,35,0.1223
2025-02-04,智能客服系统,华南,38213,35,0.0459
2025-02-04,AI营销助手,华南,40428,37,0.125
2025-02-05,AI营销助手,华东,40346,41,0.1115
2025-02-06,AI营销助手,华东,38232,38,0.1254
2025-02-07,AI营销助手,华北,41030,42,0.1278
2025-02-07,AI营销助手,华东,37244,35,0.1219
2025-02-07,数据分析平台,华南,48249,35,0.0184
2025-02-07,数据分析平台,华北,46073,32,0.0141
2025-02-07,智能客服系统,华北,40232,28,0.0404
2025-02-08,智能客服系统,华东,42060,50,0.0401
2025-02-08,智能客服系统,华北,42283,39,0.041
2025-02-08,智能客服系统,华南,43816,39,0.0449
2025-02-08,AI营销助手,华北,39369,40,0.1204
2025-02-10,智能客服系统,华东,36908,29,0.0313
2025-02-10,AI营销助手,华东,39029,39,0.1217
2025-02-10,AI营销助手,华南,44629,40,0.1253
2025-02-11,数据分析平台,华南,45192,26,0.0159
2025-02-11,数据分析平台,华东,47058,26,0.0221
2025-02-11,数据分析平台,华北,43584,32,0.0134
2025-02-14,智能客服系统,华南,37138,33,0.0376
2025-02-14,数据分析平台,华东,42808,29,0.0216
2025-02-14,AI营销助手,华南,40091,38,0.117
2025-02-15,智能客服系统,华北,48575,43,0.043
2025-02-15,智能客服系统,华南,31899,27,0.049
2025-02-16,数据分析平台,华南,46514,33,0.0243
2025-02-16,数据分析平台,华北,42622,28,0.0073
2025-02-16,智能客服系统,华南,37352,34,0.0334
2025-02-17,智能客服系统,华北,35198,27,0.0379
2025-02-17,智能客服系统,华南,38100,29,0.0315
2025-02-17,AI营销助手,华东,43530,44,0.127
2025-02-18,智能客服系统,华东,34956,32,0.0457
2025-02-18,AI营销助手,华东,44244,46,0.1264
2025-02-18,AI营销助手,华南,36961,35,0.1227
2025-02-19,智能客服系统,华东,45067,34,0.0441
2025-02-19,智能客服系统,华南,41775,37,0.0493
2025-02-19,数据分析平台,华北,42219,27,0.0158
2025-02-19,AI营销助手,华北,33517,31,0.1154
2025-02-19,AI营销助手,华南,39494,36,0.1266
2025-02-20,智能客服系统,华北,46529,33,0.0349
2025-02-20,AI营销助手,华东,39119,39,0.1136
2025-02-20,AI营销助手,华南,42882,40,0.1168
2025-02-21,AI营销助手,华南,40227,41,0.1119
2025-02-21,数据分析平台,华北,45597,28,0.0148
2025-02-21,数据分析平台,华南,45209,28,0.0188
2025-02-21,智能客服系统,华东,44652,37,0.044
2025-02-21,数据分析平台,华东,42055,29,0.0067
2025-02-22,AI营销助手,华北,43172,40,0.1166
2025-02-22,AI营销助手,华南,44266,40,0.1154
2025-02-23,数据分析平台,华南,44544,31,0.0087
2025-02-23,AI营销助手,华南,40561,39,0.1295
2025-02-25,数据分析平台,华北,46071,28,0.0165
2025-02-25,智能客服系统,华东,39167,30,0.0411
2025-02-25,数据分析平台,华东,43231,31,0.0148
2025-02-26,智能客服系统,华东,43598,37,0.0396
2025-02-26,智能客服系统,华北,43251,38,0.038
2025-02-26,AI营销助手,华南,38342,37,0.1124
2025-02-27,智能客服系统,华东,42989,38,0.0421
2025-02-27,智能客服系统,华北,39916,33,0.0345
2025-02-27,数据分析平台,华南,48832,30,0.0248
2025-02-28,智能客服系统,华东,42188,34,0.049
2025-03-01,数据分析平台,华东,59346,42,0.0191
2025-03-01,AI营销助手,华东,31650,33,0.1558
2025-03-02,数据分析平台,华东,62045,40,0.0215
2025-03-02,智能客服系统,华东,45221,37,0.0385
2025-03-02,AI营销助手,华北,30648,30,0.1514
2025-03-03,数据分析平台,华东,60290,41,0.015
2025-03-04,智能客服系统,华南,36727,38,0.0467
2025-03-04,数据分析平台,华北,56981,34,0.025
2025-03-04,AI营销助手,华南,32316,33,0.1494
2025-03-05,智能客服系统,华北,42496,37,0.0336
2025-03-06,智能客服系统,华东,39951,29,0.0366
2025-03-06,数据分析平台,华东,60227,38,0.0213
2025-03-06,AI营销助手,华南,31950,31,0.1481
2025-03-07,AI营销助手,华北,28355,28,0.1441
2025-03-07,AI营销助手,华东,30825,29,0.1525
2025-03-07,智能客服系统,华北,36698,29,0.0432
2025-03-08,智能客服系统,华东,40979,32,0.0388
2025-03-08,数据分析平台,华东,58586,39,0.0172
2025-03-09,智能客服系统,华东,34207,22,0.0483
2025-03-09,数据分析平台,华东,57844,37,0.015
2025-03-09,数据分析平台,华北,60932,45,0.0152
2025-03-09,AI营销助手,华东,31715,31,0.1596
2025-03-10,AI营销助手,华东,29782,30,0.1457
2025-03-10,数据分析平台,华南,61558,45,0.0152
2025-03-10,数据分析平台,华北,60968,38,0.0133
2025-03-10,智能客服系统,华南,39925,32,0.0473
2025-03-10,智能客服系统,华北,39923,29,0.0402
2025-03-11,智能客服系统,华东,42760,34,0.0398
2025-03-12,数据分析平台,华东,60672,40,0.0059
2025-03-12,数据分析平台,华北,60293,37,0.0191
2025-03-12,数据分析平台,华南,60073,41,0.0127
2025-03-12,AI营销助手,华北,32902,34,0.1596
2025-03-13,AI营销助手,华北,31744,32,0.1482
2025-03-13,数据分析平台,华东,66459,42,0.0225
2025-03-14,智能客服系统,华南,48759,37,0.0368
2025-03-14,数据分析平台,华南,57480,36,0.022
2025-03-14,AI营销助手,华东,25752,24,0.1476
2025-03-14,AI营销助手,华南,28481,28,0.1552
2025-03-15,AI营销助手,华北,27359,31,0.1489
2025-03-15,智能客服系统,华东,41367,41,0.0307
2025-03-15,数据分析平台,华东,62851,40,0.0249
2025-03-15,数据分析平台,华北,57304,39,0.0137
2025-03-16,AI营销助手,华东,29770,32,0.1434
2025-03-16,AI营销助手,华南,26811,25,0.1524
2025-03-16,智能客服系统,华东,44717,35,0.0309
2025-03-16,智能客服系统,华北,33147,33,0.0359
2025-03-17,智能客服系统,华北,40020,33,0.0329
2025-03-17,AI营销助手,华东,29099,30,0.158
2025-03-18,AI营销助手,华东,27864,27,0.144
2025-03-19,数据分析平台,华东,60360,41,0.0109
2025-03-19,数据分析平台,华北,62134,38,0.0182
2025-03-19,AI营销助手,华南,26931,29,0.141
2025-03-20,数据分析平台,华东,64653,43,0.0171
2025-03-20,AI营销助手,华南,32358,32,0.1532
2025-03-20,智能客服系统,华南,41329,31,0.0357
2025-03-21,智能客服系统,华东,48242,47,0.0426
2025-03-21,智能客服系统,华北,39004,36,0.0429
2025-03-21,数据分析平台,华南,61936,45,0.0068
2025-03-21,AI营销助手,华北,28070,29,0.1435
2025-03-22,智能客服系统,华北,44233,29,0.0406
2025-03-22,智能客服系统,华南,35266,21,0.0466
2025-03-22,数据分析平台,华北,59191,41,0.0146
2025-03-22,数据分析平台,华南,64507,43,0.0199
2025-03-22,AI营销助手,华南,33257,30,0.1428
2025-03-23,数据分析平台,华北,56086,39,0.0053
2025-03-23,智能客服系统,华南,31730,26,0.0461
2025-03-23,智能客服系统,华东,33186,27,0.0472
2025-03-23,智能客服系统,华北,41536,34,0.0496
2025-03-24,智能客服系统,华北,41466,30,0.0488
2025-03-24,数据分析平台,华南,58458,35,0.0162
2025-03-24,AI营销助手,华东,29874,31,0.1444
2025-03-24,AI营销助手,华南,28028,29,0.1582
2025-03-25,数据分析平台,华东,58409,36,0.0111
2025-03-25,AI营销助手,华东,29785,27,0.1427
2025-03-26,AI营销助手,华北,28600,29,0.1407
2025-03-26,智能客服系统,华东,37785,26,0.0489
2025-03-26,智能客服系统,华南,47858,40,0.0331
2025-03-27,智能客服系统,华北,39550,32,0.0471
2025-03-27,数据分析平台,华南,61842,43,0.0122
2025-03-28,智能客服系统,华东,37877,29,0.0391
2025-03-28,数据分析平台,华南,59174,32,0.0099
2025-03-29,数据分析平台,华北,61729,42,0.0051
2025-03-29,数据分析平台,华南,69236,49,0.0079
2025-03-29,智能客服系统,华东,33939,33,0.0341
2025-03-29,智能客服系统,华南,46579,37,0.0366
2025-03-30,AI营销助手,华南,28487,25,0.1495
2025-03-30,数据分析平台,华东,59616,36,0.0098
2025-03-30,AI营销助手,华北,26787,27,0.1505
2025-03-31,智能客服系统,华东,37413,26,0.0403
2025-03-31,数据分析平台,华东,65061,46,0.0059
2025-03-31,数据分析平台,华北,59976,44,0.0223
2025-03-31,AI营销助手,华北,30154,28,0.1412
2025-04-01,数据分析平台,华东,79569,54,0.0065
2025-04-02,智能客服系统,华南,35851,29,0.0406
2025-04-02,AI营销助手,华东,18248,15,0.1871
2025-04-02,AI营销助手,华南,21852,25,0.1844
2025-04-04,数据分析平台,华南,73222,46,0.0212
2025-04-04,智能客服系统,华南,34405,30,0.0313
2025-04-04,数据分析平台,华东,73048,47,0.0069
2025-04-05,数据分析平台,华北,75145,47,0.0224
2025-04-05,数据分析平台,华南,75811,50,0.0244
2025-04-06,AI营销助手,华北,20198,21,0.1864
2025-04-06,数据分析平台,华北,74283,46,0.0124
2025-04-06,数据分析平台,华南,73269,51,0.0165
2025-04-06,AI营销助手,华东,21001,19,0.1869
2025-04-07,AI营销助手,华南,18473,14,0.1813
2025-04-07,数据分析平台,华南,73012,50,0.0112
2025-04-07,智能客服系统,华南,33322,29,0.0466
2025-04-08,数据分析平台,华北,70117,46,0.0093
2025-04-08,AI营销助手,华南,20519,18,0.1855
2025-04-10,智能客服系统,华南,42554,28,0.0323
2025-04-12,智能客服系统,华东,39735,28,0.0335
2025-04-12,智能客服系统,华南,37392,31,0.04
2025-04-12,数据分析平台,华东,72418,47,0.0211
2025-04-12,数据分析平台,华南,78018,50,0.0058
2025-04-12,AI营销助手,华北,21671,19,0.1872
2025-04-13,AI营销助手,华南,20742,19,0.1749
2025-04-13,AI营销助手,华东,21154,20,0.1884
2025-04-13,智能客服系统,华北,42119,40,0.0384
2025-04-13,数据分析平台,华南,67585,42,0.0174
2025-04-15,智能客服系统,华北,40346,32,0.037
2025-04-15,智能客服系统,华南,44671,38,0.0464
2025-04-15,数据分析平台,华东,76012,49,0.0097
2025-04-15,AI营销助手,华北,19024,18,0.1831
2025-04-16,AI营销助手,华东,22402,21,0.1825
2025-04-16,数据分析平台,华东,77613,50,0.0163
2025-04-16,智能客服系统,华东,41577,32,0.0399
2025-04-16,智能客服系统,华北,41159,42,0.0452
2025-04-17,AI营销助手,华南,15923,13,0.1715
2025-04-18,智能客服系统,华东,32516,25,0.0471
2025-04-18,数据分析平台,华南,75055,55,0.0229
2025-04-18,AI营销助手,华北,20653,20,0.183
2025-04-19,数据分析平台,华北,77488,45,0.0119
2025-04-19,数据分析平台,华南,75706,52,0.0151
2025-04-20,AI营销助手,华南,17042,19,0.1829
2025-04-21,数据分析平台,华南,76898,58,0.0225
2025-04-21,数据分析平台,华北,76015,49,0.0181
2025-04-22,智能客服系统,华北,40727,34,0.044
2025-04-22,数据分析平台,华北,73621,46,0.0112
2025-04-22,AI营销助手,华东,21660,19,0.1863
2025-04-22,AI营销助手,华南,20143,19,0.1848
2025-04-23,AI营销助手,华南,20957,21,0.1797
2025-04-24,AI营销助手,华北,21513,19,0.1726
2025-04-24,数据分析平台,华南,73667,50,0.0058
2025-04-24,数据分析平台,华北,74190,46,0.0217
2025-04-24,数据分析平台,华东,78112,50,0.007
2025-04-25,智能客服系统,华北,43478,41,0.0454
2025-04-25,智能客服系统,华南,41653,42,0.0333
2025-04-26,智能客服系统,华东,36904,25,0.039
2025-04-26,数据分析平台,华东,69663,50,0.0144
2025-04-26,数据分析平台,华北,76963,51,0.0124
2025-04-26,数据分析平台,华南,75839,47,0.0247
2025-04-27,智能客服系统,华北,49783,42,0.0463
2025-04-27,智能客服系统,华南,40437,36,0.0328
2025-04-27,数据分析平台,华南,76443,51,0.0161
2025-04-27,AI营销助手,华北,18419,19,0.187
2025-04-28,智能客服系统,华东,47528,44,0.0355
2025-04-28,智能客服系统,华北,46372,36,0.0329
2025-04-28,数据分析平台,华东,72031,47,0.0094
2025-04-29,数据分析平台,华东,69922,51,0.0218
2025-04-29,数据分析平台,华南,74525,48,0.0078
2025-04-29,智能客服系统,华北,40222,37,0.0375
2025-04-29,AI营销助手,华北,17975,14,0.1839
2025-04-30,数据分析平台,华北,71130,43,0.016
2025-04-30,智能客服系统,华东,43292,36,0.039
2025-04-30,数据分析平台,华南,73992,54,0.0156
